Age Group,Gender,Location (Home City),Favorite IPL Team:,Which IPL team do you dislike the most?,How long have you supported this team?,"How emotionally invested are you in IPL? (Scale: 1 - Not at all, 5 - Very emotionally invested)",Who is your favorite player in IPL?,Who do you think is the most overrated player?,Which player’s performance affects your mood the most?,Would you continue supporting your team if your favorite player left?,How do you react when your team wins?,How do you react when your team loses?,Do you think umpires are biased against certain teams?,How often do you engage in social media discussions after matches?,Have you ever argued with someone online about IPL?,How do you usually watch IPL?,Have you ever attended an IPL match in a stadium?,Which team do you think will win IPL this year?,Which player do you think will win the Orange Cap (Most Runs)?,Which player do you think will win the Purple Cap (Most Wickets)?,How do you react when your team wins? [Score],How do you react when your team wins? [Sentiment],How do you react when your team loses? [Score],How do you react when your team loses? [Sentiment]
19-25,Male,Ahmedabad,Royal Challengers Bengaluru,Chennai Super Kings,3-5 Years,4,Virat Kohli,Shreyas Iyer,Rohit Sharma,Yes, Happy, Neutral,Maybe,Often,No, Streaming Apps,Yes,Royal Challengers Bengaluru,Virat Kholi,Bhuvneshwar Kumar,0.5719,Positive,0.0,Neutral
19-25,Male,Nashik,Royal Challengers Bengaluru,Chennai Super Kings,3-5 Years,4,Virat Kohli,Shreyas Iyer,Rohit Sharma,Yes, Happy, Neutral,Maybe,Often,No, Streaming Apps,Yes,Royal Challengers Bengaluru,Virat Kholi,Bhuvneshwar Kumar,0.5719,Positive,0.0,Neutral
19-25,Male,Delhi,Chennai Super Kings,Kolkata Knight Riders,Since the beginning of IPL,1,Virat Kohli,Surya Kumar Yadav,Virat Kohli,Yes, Neutral, Neutral,Maybe,Always,Yes, Don’t watch regularly,No,Chennai Super Kings,Virat Kholi,Jasprit Bumrah,0.0,Neutral,0.0,Neutral
19-25,Male,Unknown,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,4,MS Dhoni,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,No,Rarely,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
36+,Male,Visakhapatnam,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,1,MS Dhoni,Abhishek Sharma,MS Dhoni,No, Happy, Neutral,Yes,Never,No, Don’t watch regularly,No,Rajasthan Royals,Virat Kholi,Mohammad Shami,0.5719,Positive,0.0,Neutral
19-25,Male,Jaipur,Punjab Kings,Royal Challengers Bengaluru,Since the beginning of IPL,5,MS Dhoni,Rishabh Pant,MS Dhoni,Yes, Happy, Sad,Yes,Rarely,Yes, TV,Yes,Punjab Kings,Shubhman Gill,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Bhopal,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Male,Unknown,Royal Challengers Bengaluru,Mumbai Indians,Since the beginning of IPL,5,Virat Kohli,Mitchell Starc,Virat Kohli,Yes, Happy, Doesn’t matter,Maybe,Rarely,No, Streaming Apps,Yes,Chennai Super Kings,Virat Kholi,Bhuvneshwar Kumar,0.5719,Positive,0.0258,Neutral
19-25,Male,Srinagar,Chennai Super Kings,Kolkata Knight Riders,Since the beginning of IPL,1,Virat Kohli,Surya Kumar Yadav,Virat Kohli,Yes, Neutral, Neutral,Maybe,Always,Yes, Don’t watch regularly,No,Chennai Super Kings,Virat Kholi,Jasprit Bumrah,0.0,Neutral,0.0,Neutral
10-18,Male,Amritsar,Mumbai Indians,Royal Challengers Bengaluru,<1 Year,1,Hardik Pandya,Abhishek Sharma,Jasprit Bumrah,Yes, Happy, Sad,Yes,Never,Yes, Streaming Apps,Yes,Mumbai Indians,Sanju Samson,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Male,Lucknow,Chennai Super Kings,Mumbai Indians,3-5 Years,5,MS Dhoni,Ruturaj Gaikwad,MS Dhoni,Maybe, Happy, Sad,Maybe,Sometimes,No, Don’t watch regularly,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
36+,Female,Dhanbad,Royal Challengers Bengaluru,Gujarat Titans,<1 Year,1,Virat Kohli,Mitchell Starc,MS Dhoni,Yes, Happy, Neutral,Maybe,Never,No, TV,No,Royal Challengers Bengaluru,Virat Kholi,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Varanasi,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Male,Jabalpur,Mumbai Indians,Kolkata Knight Riders,3-5 Years,4,Andre Russel,Mitchell Starc,Virat Kohli,Maybe, Happy, Neutral,Yes,Sometimes,Yes, Streaming Apps,No,Mumbai Indians,Rohit Sharma,Rashid Khan,0.5719,Positive,0.0,Neutral
19-25,Male,Faridabad,Mumbai Indians,Punjab Kings,Since the beginning of IPL,5,Rohit Sharma,,Jasprit Bumrah,Yes, Happy, Neutral,No,Often,Yes, Streaming Apps,No,Mumbai Indians,Abhishek Sharma,Trent Bolt,0.5719,Positive,0.0,Neutral
36+,Male,Unknown,Delhi Capitals,Kolkata Knight Riders,<1 Year,5,Rohit Sharma,Abhishek Sharma,MS Dhoni,Maybe, Doesn’t matter, Neutral,Maybe,Always,Yes, TV,Yes,,Rohit Sharma,Jamie Overton,0.0258,Neutral,0.0,Neutral
19-25,Female,Ranchi,Royal Challengers Bengaluru,Chennai Super Kings,3-5 Years,4,Virat Kohli,Ruturaj Gaikwad,Virat Kohli,Yes, Happy, Sad,No,Often,No, TV,No,Royal Challengers Bengaluru,Virat Kholi,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
36+,Male,Unknown,Mumbai Indians,Rajasthan Royals,3-5 Years,1,Rohit Sharma,Mitchell Starc,MS Dhoni,Maybe, Neutral, Neutral,Yes,Never,No, Don’t watch regularly,No,Mumbai Indians,Rohit Sharma,Jasprit Bumrah,0.0,Neutral,0.0,Neutral
19-25,Male,Aurangabad,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
36+,Female,Hyderabad,Royal Challengers Bengaluru,Gujarat Titans,<1 Year,1,Virat Kohli,Mitchell Starc,MS Dhoni,Yes, Happy, Neutral,Maybe,Never,No, TV,No,Royal Challengers Bengaluru,Virat Kholi,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Unknown,Mumbai Indians,Chennai Super Kings,Since the beginning of IPL,3,Rohit Sharma,Mitchell Starc,Travis Head,Yes, Happy, Sad,Yes,Often,No, Streaming Apps,Yes,Chennai Super Kings,Shubhman Gill,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Ludhiana,Chennai Super Kings,Delhi Capitals,Since the beginning of IPL,3,MS Dhoni,Shreyas Iyer,MS Dhoni,Maybe, Happy, Neutral,Maybe,,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
36+,Male,Chennai,Mumbai Indians,Rajasthan Royals,3-5 Years,1,Rohit Sharma,Mitchell Starc,MS Dhoni,Maybe, Neutral, Neutral,Yes,Never,No, Don’t watch regularly,No,Mumbai Indians,Rohit Sharma,Jasprit Bumrah,0.0,Neutral,0.0,Neutral
19-25,Female,Lucknow,Mumbai Indians,Lucknow Super Giants,1-3 Years,3,Rohit Sharma,Mitchell Starc,Jasprit Bumrah,Yes, Happy, Doesn’t matter,Maybe,Rarely,No, TV,No,Mumbai Indians,Shubhman Gill,Bhuvneshwar Kumar,0.5719,Positive,0.0258,Neutral
36+,Female,Kanpur,Royal Challengers Bengaluru,Gujarat Titans,<1 Year,1,Virat Kohli,Mitchell Starc,MS Dhoni,Yes, Happy, Neutral,Maybe,Never,No, TV,No,Royal Challengers Bengaluru,Virat Kholi,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Agra,Chennai Super Kings,Mumbai Indians,3-5 Years,4,MS Dhoni,Surya Kumar Yadav,Virat Kohli,Yes, Excited, Sad,No,Sometimes,Yes, Streaming Apps,No,Chennai Super Kings,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.4767,Negative
19-25,Male,Thane,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Female,Ludhiana,Mumbai Indians,Lucknow Super Giants,1-3 Years,3,Rohit Sharma,Mitchell Starc,Jasprit Bumrah,Yes, Happy, Doesn’t matter,Maybe,Rarely,No, TV,No,Mumbai Indians,Shubhman Gill,Bhuvneshwar Kumar,0.5719,Positive,0.0258,Neutral
19-25,Male,Rajkot,Chennai Super Kings,Mumbai Indians,3-5 Years,4,MS Dhoni,Surya Kumar Yadav,Virat Kohli,Yes, Excited, Sad,No,Sometimes,Yes, Streaming Apps,No,Chennai Super Kings,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.4767,Negative
19-25,Male,Rajkot,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,1,MS Dhoni,Rishabh Pant,MS Dhoni,Maybe, Doesn’t matter, Neutral,Maybe,Never,No, Don’t watch regularly,No,Chennai Super Kings,Ruturaj Gaikwad,Bhuvneshwar Kumar,0.0258,Neutral,0.0,Neutral
10-18,Female,Varanasi,Rajasthan Royals,Punjab Kings,Since the beginning of IPL,3,MS Dhoni,Surya Kumar Yadav,MS Dhoni,Yes, Excited, Neutral,No,Sometimes,Yes, Streaming Apps,No,Rajasthan Royals,Sanju Samson,Mohammad Shami,0.34,Positive,0.0,Neutral
19-25,Male,Agra,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
36+,Female,Srinagar,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Since the beginning of IPL,4,Travis Head,Mitchell Starc,Travis Head,Maybe, Doesn’t matter, Doesn’t matter,Yes,Never,Yes, Stadium,Yes,Royal Challengers Bengaluru,Travis Head,Jasprit Bumrah,0.0258,Neutral,0.0258,Neutral
19-25,Female,Srinagar,Mumbai Indians,Lucknow Super Giants,1-3 Years,3,Rohit Sharma,Mitchell Starc,Jasprit Bumrah,Yes, Happy, Doesn’t matter,Maybe,Rarely,No, TV,No,Mumbai Indians,Shubhman Gill,Bhuvneshwar Kumar,0.5719,Positive,0.0258,Neutral
19-25,Male,Jabalpur,Mumbai Indians,Punjab Kings,1-3 Years,5,Rohit Sharma,Rishabh Pant,Virat Kohli,No, Excited, Angry,Maybe,Never,No, TV,No,Rajasthan Royals,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.5106,Negative
19-25,Male,Unknown,Royal Challengers Bengaluru,Mumbai Indians,Since the beginning of IPL,5,Virat Kohli,Mitchell Starc,Virat Kohli,Yes, Happy, Doesn’t matter,Maybe,Rarely,No, Streaming Apps,Yes,Chennai Super Kings,Virat Kholi,Bhuvneshwar Kumar,0.5719,Positive,0.0258,Neutral
19-25,Male,Dhanbad,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,1,MS Dhoni,Surya Kumar Yadav,MS Dhoni,Yes, Doesn’t matter, Doesn’t matter,Yes,Never,No, TV,No,Royal Challengers Bengaluru,Shubhman Gill,Bhuvneshwar Kumar,0.0258,Neutral,0.0258,Neutral
19-25,Male,Bhopal,Rajasthan Royals,Lucknow Super Giants,1-3 Years,3,MS Dhoni,Mitchell Starc,Virat Kohli,Yes, Happy, Sad,No,Rarely,Yes, TV,Yes,Rajasthan Royals,Sanju Samson,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
36+,Female,Nashik,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Since the beginning of IPL,4,Travis Head,Mitchell Starc,Travis Head,Maybe, Doesn’t matter, Doesn’t matter,Yes,Never,Yes, Stadium,Yes,Royal Challengers Bengaluru,Travis Head,Jasprit Bumrah,0.0258,Neutral,0.0258,Neutral
19-25,Male,Faridabad,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,5,MS Dhoni,Surya Kumar Yadav,MS Dhoni,Yes, Excited, Sad,Yes,Often,Yes, Streaming Apps,Yes,Chennai Super Kings,Ruturaj Gaikwad,Arshdeep Singh,0.34,Positive,-0.4767,Negative
19-25,Male,Aurangabad,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Male,Ranchi,Chennai Super Kings,Delhi Capitals,Since the beginning of IPL,3,MS Dhoni,Shreyas Iyer,MS Dhoni,Maybe, Happy, Neutral,Maybe,,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Kolkata,Rajasthan Royals,Mumbai Indians,Since the beginning of IPL,3,Shubhman Gill,Shreyas Iyer,Rohit Sharma,Yes, Happy, Sad,No,Often,Yes,,No,Kolkata Knight Riders,Abhishek Sharma,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Female,Gwalior,Kolkata Knight Riders,Gujarat Titans,3-5 Years,3,Virat Kohli,Shreyas Iyer,Virat Kohli,Yes, Excited, Sad,Maybe,Rarely,No, TV,No,Kolkata Knight Riders,Virat Kholi,Jasprit Bumrah,0.34,Positive,-0.4767,Negative
19-25,Male,Amritsar,Mumbai Indians,Punjab Kings,Since the beginning of IPL,5,Rohit Sharma,,Jasprit Bumrah,Yes, Happy, Neutral,No,Often,Yes, Streaming Apps,No,Mumbai Indians,Abhishek Sharma,Trent Bolt,0.5719,Positive,0.0,Neutral
19-25,Male,Ghaziabad,Mumbai Indians,Punjab Kings,1-3 Years,5,Rohit Sharma,Rishabh Pant,Virat Kohli,No, Excited, Angry,Maybe,Never,No, TV,No,Rajasthan Royals,Abhishek Sharma,Jasprit Bumrah,0.34,Positive,-0.5106,Negative
26-35,Male,Ahmedabad,Delhi Capitals,Lucknow Super Giants,3-5 Years,3,Travis Head,Abhishek Sharma,Virat Kohli,No, Excited, Neutral,Yes,Sometimes,No, TV,No,Royal Challengers Bengaluru,Shubhman Gill,Yuzvendra Chahal,0.34,Positive,0.0,Neutral
19-25,Male,Nagpur,Mumbai Indians,Punjab Kings,3-5 Years,3,Rohit Sharma,Surya Kumar Yadav,Rohit Sharma,Yes, Happy, Neutral,Yes,Sometimes,Yes, Streaming Apps,No,Rajasthan Royals,Jos Buttler,Arshdeep Singh,0.5719,Positive,0.0,Neutral
19-25,Male,Kolkata,Rajasthan Royals,Lucknow Super Giants,1-3 Years,3,MS Dhoni,Mitchell Starc,Virat Kohli,Yes, Happy, Sad,No,Rarely,Yes, TV,Yes,Rajasthan Royals,Sanju Samson,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
19-25,Male,Unknown,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,4,MS Dhoni,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,No,Rarely,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Thane,Mumbai Indians,Chennai Super Kings,Since the beginning of IPL,3,Rohit Sharma,Mitchell Starc,Travis Head,Yes, Happy, Sad,Yes,Often,No, Streaming Apps,Yes,Chennai Super Kings,Shubhman Gill,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Aurangabad,Chennai Super Kings,Mumbai Indians,Since the beginning of IPL,4,MS Dhoni,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,No,Rarely,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Gwalior,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,4,Ruturaj Gaikwad,Mitchell Starc,MS Dhoni,Maybe, Happy, Sad,Yes,Sometimes,No, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Mohammad Shami,0.5719,Positive,-0.4767,Negative
19-25,Male,Unknown,Punjab Kings,Royal Challengers Bengaluru,Since the beginning of IPL,5,MS Dhoni,Rishabh Pant,MS Dhoni,Yes, Happy, Sad,Yes,Rarely,Yes, TV,Yes,Punjab Kings,Shubhman Gill,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
26-35,Male,Visakhapatnam,Delhi Capitals,Lucknow Super Giants,3-5 Years,3,Travis Head,Abhishek Sharma,Virat Kohli,No, Excited, Neutral,Yes,Sometimes,No, TV,No,Royal Challengers Bengaluru,Shubhman Gill,Yuzvendra Chahal,0.34,Positive,0.0,Neutral
19-25,Female,Hyderabad,Royal Challengers Bengaluru,Delhi Capitals,3-5 Years,3,Rohit Sharma,Ruturaj Gaikwad,Virat Kohli,No, Happy, Neutral,Maybe,Always,Yes, Streaming Apps,Yes,Punjab Kings,Abhishek Sharma,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Patna,Chennai Super Kings,Delhi Capitals,Since the beginning of IPL,3,MS Dhoni,Shreyas Iyer,MS Dhoni,Maybe, Happy, Neutral,Maybe,,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Kanpur,Chennai Super Kings,Kolkata Knight Riders,Since the beginning of IPL,1,Virat Kohli,Surya Kumar Yadav,Virat Kohli,Yes, Neutral, Neutral,Maybe,Always,Yes, Don’t watch regularly,No,Chennai Super Kings,Virat Kholi,Jasprit Bumrah,0.0,Neutral,0.0,Neutral
19-25,Male,Jabalpur,Chennai Super Kings,Delhi Capitals,Since the beginning of IPL,3,MS Dhoni,Shreyas Iyer,MS Dhoni,Maybe, Happy, Neutral,Maybe,,Yes, Streaming Apps,No,Chennai Super Kings,Ruturaj Gaikwad,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Ghaziabad,Delhi Capitals,Royal Challengers Bengaluru,Since the beginning of IPL,1,Ajinkya Rahane,Ruturaj Gaikwad,MS Dhoni,No, Doesn’t matter, Neutral,Yes,Never,Yes, Don’t watch regularly,No,Punjab Kings,Sanju Samson,Harshal Patel,0.0258,Neutral,0.0,Neutral
19-25,Male,Hyderabad,Mumbai Indians,Chennai Super Kings,Since the beginning of IPL,3,Rohit Sharma,Mitchell Starc,Travis Head,Yes, Happy, Sad,Yes,Often,No, Streaming Apps,Yes,Chennai Super Kings,Shubhman Gill,Arshdeep Singh,0.5719,Positive,-0.4767,Negative
19-25,Male,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,Since the beginning of IPL,5,MS Dhoni,Surya Kumar Yadav,MS Dhoni,Yes, Excited, Sad,Yes,Often,Yes, Streaming Apps,Yes,Chennai Super Kings,Ruturaj Gaikwad,Arshdeep Singh,0.34,Positive,-0.4767,Negative
36+,Female,Lucknow,Royal Challengers Bengaluru,Gujarat Titans,<1 Year,1,Virat Kohli,Mitchell Starc,MS Dhoni,Yes, Happy, Neutral,Maybe,Never,No, TV,No,Royal Challengers Bengaluru,Virat Kholi,Jasprit Bumrah,0.5719,Positive,0.0,Neutral
19-25,Male,Visakhapatnam,Chennai Super Kings,Gujarat Titans,Since the beginning of IPL,5,MS Dhoni,Shreyas Iyer,MS Dhoni,Maybe, Happy, Sad,No,Rarely,No, TV,No,Chennai Super Kings,Virat Kholi,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
19-25,Male,Agra,Mumbai Indians,Royal Challengers Bengaluru,Since the beginning of IPL,5,Rohit Sharma,Mitchell Starc,Rohit Sharma,Yes, Happy, Sad,No,Sometimes,Yes, Stadium,Yes,Mumbai Indians,Rohit Sharma,Jasprit Bumrah,0.5719,Positive,-0.4767,Negative
